instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
128090884,500355,RALLIS,RALLIS INDIA,0,,0,0.05,1,EQ,BSE,BSE
128091140,500356,RAMANEWS,SHREE RAMA NEWSPRINT,0,,0,0.01,1,EQ,BSE,BSE
128093700,500366,ROLTA,ROLTA INDIA,0,,0,0.01,1,EQ,BSE,BSE
128093956,500367,RUBFILA,RUBFILA INTERNATIONAL,0,,0,0.01,1,EQ,BSE,BSE
128096772,500378,JINDALSAW,JINDAL SAW,0,,0,0.05,1,EQ,BSE,BSE
128097284,500380,JKLAKSHMI,JK LAKSHMI CEMENT,0,,0,0.05,1,EQ,BSE,BSE
128099076,500387,SHREECEM,SHREE CEMENT,0,,0,0.05,1,EQ,BSE,BSE
128102916,500402,SPMLINFRA,SPML INFRA,0,,0,0.05,1,EQ,BSE,BSE
128103172,500403,SUNDRMFAST,SUNDRAM FASTENERS,0,,0,0.05,1,EQ,BSE,BSE
128103684,500405,SPLPETRO,SUPREME PETROCHEM,0,,0,0.05,1,EQ,BSE,BSE
128104196,500407,SWARAJENG,SWARAJ ENGINES,0,,0,0.05,1,EQ,BSE,BSE
128104452,500408,TATAELXSI,TATA ELXSI,0,,0,0.05,1,EQ,BSE,BSE
128104964,500410,ACC,ACC,0,,0,0.05,1,EQ,BSE,BSE
128105220,500411,THERMAX,THERMAX,0,,0,0.05,1,EQ,BSE,BSE
128105476,500412,TIRUMALCHM,THIRUMALAI CHEMICALS,0,,0,0.05,1,EQ,BSE,BSE
128105732,500413,THOMASCOOK,THOMAS COOK (INDIA),0,,0,0.05,1,EQ,BSE,BSE
128108804,500425,AMBUJACEM,AMBUJA CEMENTS,0,,0,0.05,1,EQ,BSE,BSE
128109828,500429,UNIENTER,UNIPHOS ENTERPRISES,0,,0,0.05,1,EQ,BSE,BSE
128112388,500439,VHL,VARDHMAN HOLDINGS,0,,0,0.05,1,EQ,BSE,BSE
128116740,500456,PASUPTAC,PASUPATI ACRYLON,0,,0,0.01,1,EQ,BSE,BSE
128117764,500460,MUKANDLTD,MUKAND,0,,0,0.05,1,EQ,BSE,BSE
128118532,500463,BBOX,BLACK BOX,0,,0,0.05,1,EQ,BSE,BSE
128118788,500464,UCAL,UCAL,0,,0,0.05,1,EQ,BSE,BSE
128120068,500469,FEDERALBNK,FEDERAL BANK,0,,0,0.05,1,EQ,BSE,BSE
128120324,500470,TATASTEEL,TATA STEEL,0,,0,0.05,1,EQ,BSE,BSE
128120836,500472,SKFINDIA,SKF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128122116,500477,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,BSE,BSE
128122884,500480,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,BSE,BSE
128123652,500483,TATACOMM,TATA COMMUNICATIONS,0,,0,0.05,1,EQ,BSE,BSE
128124932,500488,ABBOTINDIA,ABBOTT INDIA,0,,0,0.05,1,EQ,BSE,BSE
128126212,500493,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,BSE,BSE
128128004,500500,HINDMOTORS,HINDUSTAN MOTORS,0,,0,0.01,1,EQ,BSE,BSE
128130564,500510,LT,LARSEN & TOUBRO,0,,0,0.05,1,EQ,BSE,BSE
128133124,500520,M&M,MAHINDRA & MAHINDRA,0,,0,0.05,1,EQ,BSE,BSE
128135684,500530,BOSCHLTD,BOSCH,0,,0,0.05,1,EQ,BSE,BSE
128138244,500540,PREMIER,PREMIER,0,,0,0.01,1,EQ,BSE,BSE
128140804,500550,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,BSE,BSE
128145924,500570,TATAMOTORS,TATA MOTORS,0,,0,0.05,1,EQ,BSE,BSE
128147204,500575,VOLTAS,VOLTAS,0,,0,0.05,1,EQ,BSE,BSE
128166404,500650,EXCELINDUS,EXCEL INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128167684,500655,GRWRHITECH,GARWARE HI-TECH FILMS,0,,0,0.05,1,EQ,BSE,BSE
128172548,500674,SANOFI,SANOFI INDIA,0,,0,0.05,1,EQ,BSE,BSE
128174084,500680,PFIZER,PFIZER,0,,0,0.05,1,EQ,BSE,BSE
128178180,500696,HINDUNILVR,HINDUSTAN UNILEVER,0,,0,0.05,1,EQ,BSE,BSE
128181764,500710,AKZOINDIA,AKZO NOBEL INDIA,0,,0,0.05,1,EQ,BSE,BSE
128186884,500730,NOCIL,NOCIL,0,,0,0.05,1,EQ,BSE,BSE
128197124,500770,TATACHEM,TATA CHEMICALS,0,,0,0.05,1,EQ,BSE,BSE
128202244,500790,NESTLEIND,NESTLE INDIA,0,,0,0.05,1,EQ,BSE,BSE
128209924,500820,ASIANPAINT,ASIAN PAINTS,0,,0,0.05,1,EQ,BSE,BSE
128211204,500825,BRITANNIA,BRITANNIA INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128215044,500840,EIHOTEL,EIH - OBEROI HOTELS,0,,0,0.05,1,EQ,BSE,BSE
128222724,500870,CASTROLIND,CASTROL INDIA,0,,0,0.05,1,EQ,BSE,BSE
128224004,500875,ITC,ITC,0,,0,0.05,1,EQ,BSE,BSE
128224516,500877,APOLLOTYRE,APOLLO TYRES,0,,0,0.05,1,EQ,BSE,BSE
128224772,500878,CEATLTD,CEAT,0,,0,0.05,1,EQ,BSE,BSE
128227844,500890,MODIRUBBER,MODI RUBBER,0,,0,0.05,1,EQ,BSE,BSE
128240644,500940,FINPIPE,FINOLEX INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128294404,501150,CENTRUM,CENTRUM CAPITAL,0,,0,0.01,1,EQ,BSE,BSE
128372484,501455,GREAVESCOT,GREAVES COTTON,0,,0,0.05,1,EQ,BSE,BSE
128468740,501831,COASTCORP,COASTAL CORPORATION,0,,0,0.01,1,EQ,BSE,BSE
128535044,502090,SAGCEM,SAGAR CEMENTS,0,,0,0.05,1,EQ,BSE,BSE
128547076,502137,DECCANCE,DECCAN CEMENTS,0,,0,0.05,1,EQ,BSE,BSE
128552196,502157,MANGLMCEM,MANGALAM CEMENT,0,,0,0.05,1,EQ,BSE,BSE
128555012,502168,NCLIND,NCL INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128556804,502175,SAURASHCEM,SAURASHTRA CEMENT,0,,0,0.01,1,EQ,BSE,BSE
128568068,502219,BORORENEW,BOROSIL RENEWABLES,0,,0,0.05,1,EQ,BSE,BSE
128596484,502330,ANDHRAPAP,ANDHRA PAPER,0,,0,0.01,1,EQ,BSE,BSE
128626692,502448,ROLLT,ROLLATAINERS,0,,0,0.01,1,EQ,BSE,BSE
128627204,502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS,0,,0,0.05,1,EQ,BSE,BSE
128721924,502820,DCM,DCM,0,,0,0.05,1,EQ,BSE,BSE
128751876,502937,KESORAMIND,KESORAM INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
128764420,502986,VTL,VARDHMAN TEXTILES,0,,0,0.05,1,EQ,BSE,BSE
128775940,503031,PENINLAND,PENINSULA LAND,0,,0,0.01,1,EQ,BSE,BSE
128793604,503100,PHOENIXLTD,THE PHOENIX MILLS,0,,0,0.05,1,EQ,BSE,BSE
128847364,503310,SWANENERGY,SWAN ENERGY,0,,0,0.05,1,EQ,BSE,BSE
128952836,503722,BANSWRAS,BANSWARA SYNTEX,0,,0,0.05,1,EQ,BSE,BSE
128974340,503806,SRF,SRF,0,,0,0.05,1,EQ,BSE,BSE
128975620,503811,SIYSIL,SIYARAM SILK MILLS,0,,0,0.05,1,EQ,BSE,BSE
129013764,503960,BBL,BHARAT BIJLEE,0,,0,0.05,1,EQ,BSE,BSE
129038852,504058,NIPPOBATRY,INDO-NATIONAL,0,,0,0.05,1,EQ,BSE,BSE
129052676,504112,NELCO,NELCO,0,,0,0.05,1,EQ,BSE,BSE
129078276,504212,UNIVCABLES,UNIVERSAL CABLES,0,,0,0.05,1,EQ,BSE,BSE
129097220,504286,DELTAMAGNT,DELTA MANUFACTURING,0,,0,0.01,1,EQ,BSE,BSE
129111300,504341,RELTD,RAVINDRA ENERGY,0,,0,0.05,1,EQ,BSE,BSE
129249028,504879,ORIENTCER,ORIENT CERATECH,0,,0,0.01,1,EQ,BSE,BSE
129282564,505010,AUTOAXLES,AUTOMOTIVE AXLES,0,,0,0.05,1,EQ,BSE,BSE
129299204,505075,SETCO,SETCO AUTOMOTIVE,0,,0,0.01,1,EQ,BSE,BSE
129329156,505192,SMLISUZU,SML ISUZU,0,,0,0.05,1,EQ,BSE,BSE
129330180,505196,TIL,TIL,0,,0,0.05,1,EQ,BSE,BSE
129331204,505200,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,BSE,BSE
129341956,505242,DYNAMATECH,DYNAMATIC TECHNOLOGIES,0,,0,0.05,1,EQ,BSE,BSE
129345284,505255,GMMPFAUDLR,GMM PFAUDLER,0,,0,0.05,1,EQ,BSE,BSE
129362948,505324,MANUGRAPH,MANUGRAPH INDIA,0,,0,0.01,1,EQ,BSE,BSE
129370884,505355,NESCO,NESCO,0,,0,0.05,1,EQ,BSE,BSE
129385476,505412,WENDT,WENDT (INDIA),0,,0,0.05,1,EQ,BSE,BSE
129410308,505509,RESPONIND,RESPONSIVE INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
129414660,505526,DOLATALGO,DOLAT ALGOTECH,0,,0,0.05,1,EQ,BSE,BSE
129416452,505533,WESTLIFE,WESTLIFE FOODWORLD,0,,0,0.05,1,EQ,BSE,BSE
129431044,505590,SVPGLOB,SVP GLOBAL TEXTILES,0,,0,0.01,1,EQ,BSE,BSE
129456132,505688,BHARATGEAR,BHARAT GEARS,0,,0,0.01,1,EQ,BSE,BSE
129462788,505714,GABRIEL,GABRIEL INDIA,0,,0,0.05,1,EQ,BSE,BSE
129465860,505726,IFBIND,IFB INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
129484804,505800,RANEHOLDIN,RANE HOLDINGS,0,,0,0.05,1,EQ,BSE,BSE
129498628,505854,TRF,TRF,0,,0,0.05,1,EQ,BSE,BSE
129541636,506022,PRAKASH,PRAKASH INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
129555460,506076,GRINDWELL,GRINDWELL NORTON,0,,0,0.05,1,EQ,BSE,BSE
129573380,506146,VIVIDHA,VISAGAR POLYTEX,0,,0,0.01,1,EQ,BSE,BSE
129583108,506184,KANANIIND,KANANI INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
129586436,506197,BLISSGVS,BLISS GVS PHARMA,0,,0,0.05,1,EQ,BSE,BSE
129596164,506235,ALEMBICLTD,ALEMBIC,0,,0,0.05,1,EQ,BSE,BSE
129599492,506248,AMNPLST,AMINES & PLASTICIZERS,0,,0,0.05,1,EQ,BSE,BSE
129602564,506260,ANUHPHR,ANUH PHARMA,0,,0,0.05,1,EQ,BSE,BSE
129602820,506261,MODISONLTD,MODISON,0,,0,0.05,1,EQ,BSE,BSE
129608964,506285,BAYERCROP,BAYER CROPSCIENCE,0,,0,0.05,1,EQ,BSE,BSE
129638660,506401,DEEPAKNTR,DEEPAK NITRITE,0,,0,0.05,1,EQ,BSE,BSE
129700356,506642,SADHNANIQ,SADHANA NITROCHEM,0,,0,0.01,1,EQ,BSE,BSE
129712644,506690,UNICHEMLAB,UNICHEM LABORATORIES,0,,0,0.05,1,EQ,BSE,BSE
129761028,506879,GUJTHEM,GUJARAT THEMIS BIOSYN,0,,0,0.05,1,EQ,BSE,BSE
129844484,507205,TI,TILAKNAGAR INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
129872644,507315,SAKHTISUG,SAKTHI SUGARS,0,,0,0.01,1,EQ,BSE,BSE
129896964,507410,WALCHANNAG,WALCHANDNAGAR INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
129904132,507438,IFBAGRO,IFB AGRO INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
129917444,507490,RANASUG,RANA SUGARS,0,,0,0.01,1,EQ,BSE,BSE
129933316,507552,FOODSIN,FOODS & INNS,0,,0,0.05,1,EQ,BSE,BSE
129940484,507580,IVP,IVP,0,,0,0.05,1,EQ,BSE,BSE
129967364,507685,WIPRO,WIPRO,0,,0,0.05,1,EQ,BSE,BSE
129975556,507717,DHANUKA,DHANUKA AGRITECH,0,,0,0.05,1,EQ,BSE,BSE
129983236,507747,TTKHLTCARE,TTK HEALTHCARE,0,,0,0.05,1,EQ,BSE,BSE
129991428,507779,KANPRPLA,KANPUR PLASTIPACK,0,,0,0.05,1,EQ,BSE,BSE
129993988,507789,JAGSNPHARM,JAGSONPAL PHARMACEUTICALS,0,,0,0.05,1,EQ,BSE,BSE
130000644,507815,GILLETTE,GILLETTE INDIA,0,,0,0.05,1,EQ,BSE,BSE
130016772,507878,UNITECH,UNITECH,0,,0,0.01,1,EQ,BSE,BSE
130279940,508906,EVERESTIND,EVEREST INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
130301188,508989,NAVNETEDUL,NAVNEET EDUCATION,0,,0,0.05,1,EQ,BSE,BSE
130306308,509009,AUSOMENT,AUSOM ENTERPRISE,0,,0,0.05,1,EQ,BSE,BSE
130309124,509020,RUCHINFRA,RUCHI INFRASTRUCTURE,0,,0,0.01,1,EQ,BSE,BSE
130316292,509048,LANCORHOL,LANCOR HOLDINGS,0,,0,0.01,1,EQ,BSE,BSE
130318084,509055,VISAKAIND,VISAKA INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
130324228,509079,GUFICBIO,GUFIC BIOSCIENCES,0,,0,0.05,1,EQ,BSE,BSE
130342916,509152,GRPLTD,GRP,0,,0,0.05,1,EQ,BSE,BSE
130360324,509220,PTL,PTL ENTERPRISES,0,,0,0.01,1,EQ,BSE,BSE
130366212,509243,TVSSRICHAK,TVS SRICHAKRA,0,,0,0.05,1,EQ,BSE,BSE
130428932,509488,GRAPHITE,GRAPHITE INDIA,0,,0,0.05,1,EQ,BSE,BSE
130430980,509496,ITDCEM,ITD CEMENTATION INDIA,0,,0,0.05,1,EQ,BSE,BSE
130449156,509567,GOACARBON,GOA CARBON,0,,0,0.05,1,EQ,BSE,BSE
130465540,509631,HEG,HEG,0,,0,0.05,1,EQ,BSE,BSE
130466564,509635,HINDCOMPOS,HINDUSTAN COMPOSITES,0,,0,0.05,1,EQ,BSE,BSE
130476804,509675,BIRLANU,BIRLANU,0,,0,0.05,1,EQ,BSE,BSE
130513924,509820,HUHTAMAKI,HUHTAMAKI INDIA,0,,0,0.05,1,EQ,BSE,BSE
130542084,509930,SUPREMEIND,SUPREME INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
130551300,509966,VSTIND,VST INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
130835460,511076,AEROENTER,AEROFLEX ENTERPRISES,0,,0,0.05,1,EQ,BSE,BSE
130843652,511108,SHIVATEX,SHIVA TEXYARN,0,,0,0.05,1,EQ,BSE,BSE
130866180,511196,CANFINHOME,CAN FIN HOMES,0,,0,0.05,1,EQ,BSE,BSE
130869252,511208,IVC,IL&FS INVESTMENT MANAGERS,0,,0,0.01,1,EQ,BSE,BSE
130901252,511333,VLSFINANCE,VLS FINANCE,0,,0,0.05,1,EQ,BSE,BSE
130926340,511431,VAKRANGEE,VAKRANGEE,0,,0,0.01,1,EQ,BSE,BSE
130945284,511505,CAPTRUST,CAPITAL TRUST,0,,0,0.01,1,EQ,BSE,BSE
130959108,511559,TIMESGTY,TIMES GUARANTY,0,,0,0.05,1,EQ,BSE,BSE
130977284,511630,SAMBHAAV,SAMBHAAV MEDIA,0,,0,0.01,1,EQ,BSE,BSE
130989060,511676,GICHSGFIN,GIC HOUSING FINANCE,0,,0,0.05,1,EQ,BSE,BSE
131001348,511724,BAIDFIN,BAID FINSERV,0,,0,0.01,1,EQ,BSE,BSE
131001860,511726,VIPULLTD,VIPUL,0,,0,0.01,1,EQ,BSE,BSE
131005956,511742,UGROCAP,UGRO CAPITAL,0,,0,0.05,1,EQ,BSE,BSE
131012612,511768,MASTERTR,MASTER TRUST,0,,0,0.05,1,EQ,BSE,BSE
131089924,512070,UPL,UPL,0,,0,0.05,1,EQ,BSE,BSE
131105540,512131,SIGIND,SIGNET INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
131117828,512179,SUNTECK,SUNTECK REALTY,0,,0,0.05,1,EQ,BSE,BSE
131132676,512237,JAICORPLTD,JAI CORP,0,,0,0.05,1,EQ,BSE,BSE
131147780,512296,BHAGYANGR,BHAGYANAGAR INDIA,0,,0,0.01,1,EQ,BSE,BSE
131169540,512381,STARTECK,STARTECK FINANCE,0,,0,0.05,1,EQ,BSE,BSE
131190532,512463,LLOYDSENT,LLOYDS ENTERPRISES,0,,0,0.01,1,EQ,BSE,BSE
131207428,512529,SEQUENT,SEQUENT SCIENTIFIC,0,,0,0.05,1,EQ,BSE,BSE
131213572,512553,ZENITHEXPO,ZENITH EXPORTS,0,,0,0.05,1,EQ,BSE,BSE
131215108,512559,KOHINOOR,KOHINOOR FOODS,0,,0,0.01,1,EQ,BSE,BSE
131218692,512573,AVANTIFEED,AVANTI FEEDS,0,,0,0.05,1,EQ,BSE,BSE
131225348,512599,ADANIENT,ADANI ENTERPRISES,0,,0,0.05,1,EQ,BSE,BSE
131232260,512626,ORBTEXP,ORBIT EXPORTS,0,,0,0.05,1,EQ,BSE,BSE
131333892,513023,NAVA,NAVA,0,,0,0.05,1,EQ,BSE,BSE
131358980,513121,ORICONENT,ORICON ENTERPRISES,0,,0,0.01,1,EQ,BSE,BSE
131386372,513228,PENIND,PENNAR INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
131392004,513250,JYOTISTRUC,JYOTI STRUCTURES,0,,0,0.01,1,EQ,BSE,BSE
131395076,513262,SSWL,STEEL STRIPS WHEELS,0,,0,0.05,1,EQ,BSE,BSE
131424004,513375,CARBORUNIV,CARBORUNDUM UNIVERSAL,0,,0,0.05,1,EQ,BSE,BSE
131424516,513377,MMTC,MMTC,0,,0,0.01,1,EQ,BSE,BSE
131439620,513436,SHAHALLOYS,SHAH ALLOYS,0,,0,0.01,1,EQ,BSE,BSE
131458308,513509,KALYANIFRG,KALYANI FORGE,0,,0,0.05,1,EQ,BSE,BSE
